iter	RMSE
134	974982.3465
135	974061.5036
136	972561.3014
137	969718.2388
138	968857.2968
139	967746.7127
140	966965.5113
141	963690.1907
142	960645.7223
143	959957.3244
144	958554.9
145	957689.13
146	957070.7545
147	955374.5307
148	954821.0942
149	954074.0199
150	952759.5833
151	952246.7922
152	951153.4839
153	950695.8903
154	949173.546
155	948543.0707
156	948133.0673
157	946493.9345
158	946108.84
159	944118.3921
160	943773.8389
161	941675.7931
162	938452.0852
163	937343.4941
164	935046.9859
165	933962.2323
166	932700.7968
167	932114.3447
168	930862.8045
169	928515.2294
170	926613.4558
171	925543.4908
172	925046.6012
173	924072.88
174	923626.0297
175	922738.3896
176	921744.3558
177	920269.1036
178	919732.0524
179	915259.2675
180	914129.664
181	912988.9048
182	911954.0051
183	910643.4355
184	908713.8639
185	907780.3342
186	906961.0634
187	905232.3592
188	901596.2323
189	899525
190	898238.2323
191	897144.474
192	896015.2975
193	893983.4627
194	893014.8224
195	892579.2171
196	891809.6134
197	889904.6463
198	889066.9426
199	888401.1483
200	887679.2198
201	887043.3163
202	885280.9654
203	884400.0016
204	883695.1115
205	881044.989
206	879559.2046
207	878042.2372
208	877708.7589
209	876505.8498
210	874837.101
211	873846.7448
212	873339.6382
213	872756.0434
214	871640.6365
215	870703.283
216	870131.2065
217	869492.7939
218	867919.1814
219	867499.7425
220	866678.3066
221	865658.0648
222	863477.639
223	862647.047
224	861179.7444
225	860388.1047
226	857624.7213
227	856242.5677
228	855869.3408
229	855368.0049
230	854824.2474
231	853784.9992
232	852984.4769
233	852471.1237
234	851471.433
235	851140.3851
236	850574.7171
237	849298.6286
238	848402.5378
239	847883.2242
240	845827.493
241	845224.4081
242	844256.9577
243	843861.793
244	843297.9994
245	842318.4776
246	841468.8367
247	840996.3307
248	839808.9313
249	839033.2395
250	838531.6592
251	838051.3193
252	837528.1386
253	836739.0766
254	836070.3042
255	833921.2549
256	833566.6401
257	832296.1967
258	831083.0609
259	830021.6813
260	828717.235
261	828390.5147
262	827599.4756
263	827223.8585
264	826487.8356
265	824641.4797
266	824222.0748
267	823668.5775
268	821792.9612
269	819370.0819
270	818194.7542
271	817765.2196
272	816287.8925
273	815307.3001
274	814608.2204
275	813399.7442
276	812691.9483
277	812430.5407
278	811252.2312
279	810526.6697
280	810048.9078
281	808740.6567
282	808417.7704
283	807228.713
284	807015.8668
285	805565.4602
286	804884.5688
287	803301.0766
288	802978.4162
289	802234.1062
290	801845.4732
291	801161.4284
292	799713.1677
293	799343.996
294	798856.4082
295	798512.1116
296	797758.8071
297	796656.6443
298	795914.7867
299	794893.2241
300	794244.9636
301	794028.8269
302	792817.3665
303	792504.7686
304	792154.0709
305	791791.1895
306	791127.3872
307	791017.6497
308	790795.8539
309	790168.0858
310	789959.0791
311	789823.1973
312	789360.6265
313	788890.5665
314	788770.7238
315	787855.5265
316	787700.4107
317	787536.7073
318	787183.7819
319	786693.8243
320	786361.1746
321	785967.1212
322	785631.8307
323	785322.8139
324	784786.9617
325	784341.4997
326	783795.212
327	783628.0715
328	783198.1946
329	782948.911
330	782527.9562
331	782021.5518
332	781104.1962
333	779939.1595
334	779826.7393
335	777825.1834
336	776876.741
337	776607.344
338	774860.7767
339	774228.4898
340	773956.6824
341	773632.7239
342	773367.4973
343	773152.2965
344	772943.2596
345	772486.8439
346	772075.1091
347	771548.3647
348	771101.2386
349	770696.2564
350	770531.2093
351	769252.4622
352	768854.8825
353	768717.4179
354	768348.6316
355	768071.6137
356	767578.6906
357	767359.3274
358	766998.7077
359	766498.8326
360	766407.8878
361	766121.8943
362	765725.3711
363	764539.1769
364	764189.1752
365	763765.5006
366	763365.3975
367	763120.8618
368	762924.0446
369	762043.4151
370	761787.0235
371	761366.2125
372	760670.5236
373	760310.1987
374	760070.1769
375	759841.7714
376	759481.9145
377	759248.3789
378	758831.4827
379	757680.5114
380	757313.551
381	757188.2747
382	755444.4289
383	755135.3334
384	754298.0198
385	753704.398
386	752611.9659
387	752446.6744
388	752015.21
389	749939.5179
390	749801.6791
391	749700.9084
392	749473.5994
393	749395.8369
394	748471.9495
395	748174.143
396	747204.7361
397	746854.6411
398	746526.0285
399	746229.334
400	745032.5239
401	744906.074
402	744590.5395
403	743463.5298
404	743200.8233
405	741843.3869
406	741689.0975
407	741532.9261
408	740785.3401
409	740002.9133
410	739698.117
411	739530.6132
412	739108.6123
413	738880.9373
414	738164.7211
415	737987.3676
416	737202.6147
417	737038.69
418	736367.2332
419	735688.9131
420	735498.1524
421	735375.1793
422	734447.5322
423	734185.2219
424	734063.4369
425	733819.2949
426	733367.9329
427	733027.4719
428	732724.9421
429	732481.0355
430	731980.077
431	731581.9362
432	731233.5026
433	730921.15
434	730559.3887
435	730108.051
436	729999.0754
437	729740.8747
438	729341.6273
439	729183.843
440	728948.4523
441	728799.6035
442	728682.815
443	728350.9953
444	728237.9999
445	726762.9739
446	726392.6277
447	726253.1609
448	725990.2536
449	725845.0115
450	725552.9237
451	725219.8868
452	725059.9525
453	724924.0884
454	724795.2772
455	724548.0945
456	724273.5037
457	724108.7733
458	724007.4727
459	723748.7773
460	723630.6148
461	723273.0775
462	721810.4305
463	721585.587
464	720818.4053
465	720477.6684
466	720104.6977
467	719868.82
468	719665.2023
469	719360.1644
470	719135.4476
471	719086.3691
472	718768.9783
473	718566.5995
474	718132.5935
475	717359.0861
476	716989.2866
477	716780.0594
478	716607.4989
479	716495.6388
480	716407.9167
481	716308.9556
482	716026.6846
483	715675.7687
484	715344.7397
485	715130.0793
486	714769.3583
487	714655.8511
488	714322.401
489	714069.1652
490	713481.5826
491	712902.4428
492	712608.2036
493	712422.9713
494	712283.8857
495	712153.7596
496	711459.3876
497	711314.8693
498	711084.0883
499	710464.6958
500	710155.2896
501	709956.997
502	709703.2666
503	709410.9957
504	709269.5133
505	708949.9589
506	708591.8353
507	708351.4027
508	708261.9886
509	708142.235
510	708058.331
511	707957.9798
512	707765.9528
513	707707.225
514	707402.4438
515	707359.7981
516	707193.3344
517	707073.8543
518	706487.1448
519	705790.5995
520	705639.4684
521	705322.9774
522	705119.0529
523	704334.0812
524	704290.6886
525	704141.9131
526	703842.3231
527	703803.5258
528	703278.5065
529	702788.0756
530	702410.5396
531	702332.9091
532	702203.2046
533	702109.7609
534	701836.2543
535	701673.7824
536	701371.316
537	701170.2292
538	700959.1022
539	700907.4479
540	700872.2723
541	700669.6055
542	700566.0009
543	700294.3478
544	700114.6243
545	700036.943
546	699650.024
547	699560.0849
548	699425.7122
549	699398.1494
550	699316.2969
551	699276.9899
552	698543.1297
553	698466.5354
554	697878.3176
555	697749.0547
556	697562.9096
557	697358.4602
558	697159.1081
559	697025.692
560	696964.077
561	696707.3931
562	696552.4232
563	696457.1968
564	696365.0175
565	696168.5843
566	696128.2242
567	695385.6355
568	694746.491
569	694673.8413
570	694611.2401
571	694372.0518
572	694162.5174
573	693935.9066
574	693825.0379
575	693629.728
576	693502.8525
577	693296.477
578	693263.7556
579	693045.8504
580	692855.3198
581	691538.8546
582	691051.5001
583	690850.5436
584	690816.5189
585	690708.6738
586	690690.2551
587	690250.4385
588	690173.6482
589	689809.9415
590	689616.0567
591	689403.5057
592	689091.123
593	688691.8492
594	688313.0321
595	688246.4125
596	688176.8513
597	687285.3975
598	686854.8254
599	686749.6171
600	685728.0657
601	684858.9971
602	684561.3389
603	684449.5247
604	684265.6929
605	684234.5361
606	684187.9547
607	683936.416
608	683597.7807
609	683494.6465
610	683235.4749
611	683213.9096
612	682214.2379
613	682127.6956
614	681558.7641
615	681529.3935
616	681355.299
617	680650.2919
618	680330.7667
619	679834.5724
620	679646.0244
621	679284.5588
622	678957.9348
623	678901.2471
624	678619.3767
625	678384.826
626	678268.0365
627	678089.8875
628	677982.8082
629	676851.2532
630	676660.5651
631	676463.146
632	675527.6358
633	674988.8073
634	674721.23
635	674474.7088
636	673678.6742
637	672785.4027
638	672758.4345
639	672281.9543
640	672111.5115
641	671816.9688
642	671725.6373
643	671465.7171
644	671377.0149
645	671148.9959
646	670925.9725
647	670841.453
648	670816.6779
649	670607.5987
650	670545.2051
651	669788.3142
652	669434.7286
653	669230.6549
654	669177.1947
655	668920.4557
656	668775.4576
657	668001.2271
658	667804.5231
659	667682.462
660	667577.8014
661	667481.8261
662	667351.0379
663	667280.186
664	667167.7595
665	666855.1435
666	666807.7616
667	666477.6205
668	666292.6724
669	666118.4175
670	665887.1341
671	665772.8688
672	665502.0623
673	665146.8327
674	665081.865
675	665008.7548
676	664984.9785
677	664828.2028
678	664767.3932
679	664641.0914
680	664387.7055
681	664220.884
682	664198.5477
683	664020.9993
684	663964.9411
685	663755.1834
686	663733.2105
687	663586.473
688	663156.8564
689	662921.7539
690	662806.2537
691	662740.6264
692	662119.066
693	662030.7122
694	661979.8246
695	661714.0576
696	661693.4556
697	661580.8018
698	661374.0582
699	661310.6192
700	661258.6806
701	661213.2409
702	660923.9839
703	660780.6691
704	660510.4285
705	659773.8487
706	659622.505
707	659569.3813
708	659542.8569
709	659442.6352
710	659222.4759
711	659114.6322
712	658957.4576
713	658637.2137
714	658558.2929
715	658477.0307
716	658394.1328
717	658319.4018
718	658249.1391
719	658183.0661
720	658120.9269
721	658062.4805
722	657998.9957
723	657904.7395
724	657843.1889
725	657757.5977
726	657700.8172
727	657679.1191
728	657601.3986
729	657528.4884
730	657506.272
731	657438.2263
732	657374.3208
733	657035.862
734	656969.6626
735	656847.1381
736	656787.3942
737	656734.0761
738	656632.2027
739	656355.1658
740	656303.5618
741	656075.2775
742	656029.0317
743	655985.7023
744	655944.6084
745	655906.097
746	655837.7698
747	654825.7012
748	654806.4992
749	654744.4581
750	654471.4657
751	654343.8448
752	654118.6101
753	654038.7409
754	654004.6713
755	652435.3002
756	652297.5755
757	652087.93
758	651950.9829
759	651782.5303
760	651312.2827
761	650662.0034
762	650406.1308
763	650270.4003
764	650144.1337
765	649930.0086
766	649879.1405
767	649773.9353
768	649685.3427
769	649442.9683
770	649384.2756
771	648087.7871
772	647908.0431
773	647787.3263
774	647465.5776
775	647365.3132
776	647205.1962
777	647176.9448
778	646986.6424
779	646719.2489
780	646126.7968
781	645550.4683
782	644748.6787
783	644555.1903
784	643898.3061
785	643789.0414
786	643741.4009
787	643647.9155
788	643424.8959
789	643368.6045
790	643292.6887
791	642579.3306
792	642075.9324
793	641632.4998
794	641373.5912
795	640248.9799
796	640151.6278
797	640092.3573
798	640008.8964
799	639947.4589
800	639809.2263
801	639362.1199
802	639151.0847
803	639120.7356
804	638448.6758
805	638390.5601
806	638137.1344
807	638076.2771
808	638008.2054
809	637895.8859
810	637753.7016
811	637321.3086
812	637276.8712
813	636311.5119
814	636239.9344
815	636222.3318
816	635709.81
817	635617.9844
818	635541.6701
819	635448.0029
820	635181.9222
821	634950.1167
822	634125.908
823	633178.4185
824	633122.521
825	632706.4187
826	632606.3729
827	632511.5559
828	632312.7662
829	632220.2165
830	632038.5687
831	631981.2577
832	631800.0955
833	631710.0358
834	631674.1409
835	630898.4165
836	630807.7599
837	630710.5331
838	630685.2487
839	630485.6764
840	630233.0557
841	630081.7041
842	629845.8262
843	629675.8959
844	629513.016
845	629407.7452
846	629275.5006
847	629205.3782
848	629122.1785
849	628234.675
850	627692.2633
851	627613.6416
852	627117.0889
853	626834.9518
854	626760.5924
855	626732.0858
856	626340.3878
857	625810.5318
858	625780.661
859	625752.6133
860	625737.5603
861	625488.377
862	625299.1751
863	625166.7423
864	624996.7064
865	624924.8263
866	624411.5525
867	624343.9658
868	624262.8908
869	624237.6243
870	624169.6337
871	624141.3283
872	624114.7842
873	624057.9176
874	624007.6586
875	623960.0619
876	623937.102
877	623889.6371
878	623867.0083
879	623827.1171
880	623606.5746
881	623460.3286
882	623298.2028
883	622839.6015
884	622795.2992
885	622584.8023
886	622520.4221
887	622486.4421
888	622416.07
889	622355.4163
890	622061.0513
891	621773.9837
892	621743.2474
893	621311.0021
894	621253.6598
895	621144.0824
896	620684.5479
897	620557.4955
898	620450.9712
899	620042.8743
900	619928.7196
901	619874.2812
902	619796.9714
903	619645.2102
904	619609.0115
905	619295.4326
906	619061.6157
907	618942.3867
908	618877.377
909	618756.8622
910	618418.3128
911	618104.1357
912	618085.9953
913	617922.1736
914	617362.7678
915	616854.7832
916	616705.657
917	616625.136
918	616531.4507
919	615897.7652
920	615484.3183
921	615446.7206
922	615112.7319
923	614868.9126
924	614852.5897
925	614830.0307
926	614560.6456
927	614509.9198
928	614264.1169
929	614107.5969
930	613745.2162
931	613707.5356
932	613688.9678
933	613656.2317
934	613635.7795
935	613604.1429
936	613201.3565
937	612161.4632
938	611893.0907
939	611392.3689
940	611251.7218
941	611196.918
942	610768.8787
943	610596.619
944	610012.2333
945	609866.1965
946	609282.5661
947	609246.1348
948	608445.2512
949	607955.182
950	607842.3968
951	607669.5887
952	606944.4161
953	606777.1817
954	606377.7146
955	606315.6606
956	605654.2606
957	605378.6101
958	605224.9978
959	604844.7968
960	604751.4412
961	604641.228
962	604500.9135
963	604365.2908
964	603739.6568
965	602976.7861
966	602586.9124
967	602007.9258
968	601893.4252
969	601854.2864
970	601723.1071
971	601138.5398
972	600406.4627
973	600274.9189
974	599205.0783
975	598376.1964
976	598360.1237
977	598158.2673
978	597738.7831
979	597644.0059
980	597172.8162
981	597066.1638
982	596939.1263
983	596569.1577
984	596460.8171
985	596356.8323
986	596100.2499
987	595987.5825
988	595916.1536
989	595030.9988
990	594887.7016
991	594779.9215
992	594703.2034
993	594650.3029
994	594621.2034
995	594083.5066
996	593583.1055
997	593480.0907
998	593013.3701
999	592694.2225
